D001A01,D001,D00101,프로그래밍 기초,3,1,30,화1,B103
D001A02,D001,D00102,마케팅원론,3,1,30,월1,B106
D001A03,D001,D00103,유헬스케어콘텐츠,3,1,30,화3,B111
D001A04,D001,D00104,전자계산기 구조,3,1,30,월2,B112
D001A05,D001,D00105,의료IT산업론,3,1,30,화2,B116
D001A06,D001,D00106,의료정보학,3,1,30,월3,B122
D001A07,D001,D00101,보건통계학,3,1,30,수7,B123
D001A08,D001,D00102,자료구조,3,2,30,수6,B124
D001A09,D001,D00103,정보통신개론,3,2,30,수5,B127
D001A10,D001,D00104,운영체제,3,2,30,수4,B133
D001A11,D001,D00105,소비자행동론,3,2,30,수3,B134
D001A12,D001,D00106,마케팅커뮤니케이션,3,2,30,수2,B202
D001A13,D001,D00101,공간정보모델링,3,2,30,수1,B205
D001A14,D001,D00102,의료영상처리,3,2,30,금9,B211
D001A15,D001,D00103,모바일콘텐츠,3,2,30,금8,B212
D001A16,D001,D00104,유통학개론,3,2,30,목9,B213
D001A17,D001,D00105,병원물류관리실무,2,2,30,수9,B216
D001A18,D001,D00106,인터넷마케팅,3,2,30,수8,B222
D001A19,D001,D00101,의용생체전자공학개론,2,2,30,목7,B226
D001A20,D001,D00102,의료정보시스템,3,3,30,월4,B227
D001A21,D001,D00103,데이터베이스,3,3,30,금5,B232
D001A22,D001,D00104,마케팅조사론,3,3,30,금4,B235
D001A23,D001,D00105,시스템분석 및 설계,3,3,30,목8,B236
D001A24,D001,D00106,소프트웨어 공학,3,3,30,월5,B301
D001A25,D001,D00101,제품개발 및 관리,3,3,30,화4,B304
D001A26,D001,D00102,비지니스데이터 분석,3,3,30,화7,B305
D001A27,D001,D00103,컴퓨터비전,2,3,30,화6,B306
D001A28,D001,D00104,의료전문가시스템,3,3,30,금6,B307
D001A29,D001,D00105,임베디드시스템,3,3,30,월7,B312
D001A30,D001,D00106,의료정보보안,2,3,30,화9,B313
D001A31,D001,D00101,의료IT마케팅실무,3,3,30,목3,B316
D001A32,D001,D00102,유비쿼터스컴퓨팅,3,3,30,금1,B325
D001A33,D001,D00103,비즈니스DB관리시스템,2,3,30,화8,B331
D001A34,D001,D00104,창의적IT의료기기,3,3,30,월9,B333
D001A35,D001,D00105,벤처창업,3,4,30,목4,B401
D001A36,D001,D00106,졸업논문,3,4,30,목1,B403
D001A37,D001,D00101,마케팅전략실무,3,4,30,금3,B406
D001A38,D001,D00102,U-Hospital실무,3,4,30,목2,B411
D001A39,D001,D00103,유헬스케어시스템,2,4,30,화2,B422
D002B01,D002,D00201,병리학및실습,2,2,30,화1,D102
D002B02,D002,D00202,생리학,3,2,30,월1,D107
D002B03,D002,D00203,임상치위생학및실습1,3,2,30,화3,D111
D002B04,D002,D00204,임상치위생학및실습2,3,2,30,월2,D114
D002B05,D002,D00205,조직·발생학및실습,2,2,30,화2,D121
D002B06,D002,D00206,교육방법및교육공학,2,2,30,월3,D122
D002B07,D002,D00201,교육학개론,2,2,30,수7,D125
D002B08,D002,D00202,교육행정및교육경영,2,2,30,수6,D127
D002B09,D002,D00203,미생물학및면역학,3,2,30,수5,D132
D002B10,D002,D00204,보건교육학및실습,2,2,30,수4,D133
D002B11,D002,D00205,보건통계학및실습,2,2,30,수3,D134
D002B12,D002,D00206,임상실습1,3,2,30,수2,D136
D002B13,D002,D00201,임상치위생학및실습4,3,2,30,수1,D202
D002B14,D002,D00202,치과임상학1,3,2,30,금9,D203
D002B15,D002,D00203,치위생임상전단계,2,2,30,금8,D204
D002B16,D002,D00204,임상치위생학및실습3,3,3,30,목9,D214
D002B17,D002,D00205,임상실습2,3,3,30,수9,D217
D002B18,D002,D00206,임상치위생학및실습5,3,3,30,수8,D223
D002B19,D002,D00201,지역사회보건학및실습,3,3,30,목7,D224
D002B20,D002,D00202,창업실습Ⅱ,2,3,30,월4,D225
D002B21,D002,D00203,창업실습Ⅰ,2,3,30,금5,D231
D002B22,D002,D00204,치과방사선학실습,3,3,30,금4,D233
D002B23,D002,D00205,치과의료커뮤니케이션,3,3,30,목8,D235
D002B24,D002,D00206,치과임상학2,3,3,30,월5,D236
D002B25,D002,D00201,치과재료학및실습,3,3,30,화4,D302
D002B26,D002,D00202,치주기구론및실습,3,3,30,화7,D311
D002B27,D002,D00203,건강보험학및실습,2,4,30,화6,D312
D002B28,D002,D00204,공중보건학,3,4,30,금6,D314
D002B29,D002,D00205,구강생물학세미나,3,4,30,월7,D315
D002B30,D002,D00206,보건의료관계법규,3,4,30,화9,D317
D002B31,D002,D00201,임상실습3,3,4,30,목3,D322
D002B32,D002,D00202,임상치위생학및실습6,3,4,30,금1,D323
D002B33,D002,D00203,조사방법론및실습,2,4,30,화8,D327
D002B34,D002,D00204,치과위생사 인턴쉽,3,4,30,월9,D403
D002B35,D002,D00205,치과위생사직업윤리,2,4,30,목4,D405
D002B36,D002,D00206,치과임상학3,3,4,30,목1,D407
D002B37,D002,D00201,치과코디네이터론,3,4,30,금3,D412
D002B38,D002,D00202,치석제거 실기평가,2,4,30,목2,D417
D003C01,D003,D00301,교통네트워크분석기초,3,3,30,화1,C101
D003C02,D003,D00302,기초측량실습,2,4,30,월1,C107
D003C03,D003,D00303,데이터베이스기초,2,4,30,화3,C122
D003C04,D003,D00304,위성자료처리,3,4,30,월2,C124
D003C05,D003,D00305,정보시스템개론,3,4,30,화2,C125
D003C06,D003,D00306,지적정보론,3,3,30,월3,C133
