103,D00601,D006,전산회계1,3,화4,B124,30,0
152,D00601,D006,전산회계2,3,목1,E321,30,0
180,D00601,D006,디자인1,3,월6,E503,30,0
107,D00602,D006,웹디자인2,3,목9,C413,30,0
153,D00602,D006,갈등관리와협상,3,월9,C405,30,0
181,D00602,D006,결혼과가정,3,수7,C402,30,0
107,D00603,D006,경제의이해1,3,화3,D534,30,0
155,D00603,D006,경제의이해2,3,목1,E417,30,0
182,D00603,D006,고령사회의이해1,3,화7,B232,30,0
108,D00604,D006,고령사회의이해2,3,금6,D114,30,0
156,D00604,D006,고령사회의이해3,3,금1,B422,30,0
185,D00604,D006,과학과인간1,3,월4,D437,30,0
111,D00605,D006,과학과인간2,3,화9,F236,30,0
157,D00605,D006,기독교세계관,3,목3,C526,30,0
186,D00605,D006,기술경영의이해,3,월2,B403,30,0
111,D00606,D006,기초통계학,3,월5,A323,30,0
158,D00606,D006,논리적사고,3,금9,B205,30,0
187,D00606,D006,병원(의료)코디네이터개론,3,화1,F417,30,0
115,D00607,D006,사회봉사론,3,목4,F503,30,0
159,D00607,D006,사회적경제와 창업,3,수5,A501,30,0
189,D00607,D006,사회학개론(원어강의),3,화4,D107,30,0
124,D00608,D006,생활경제,3,월4,B307,30,0
160,D00608,D006,생활한자의이해,3,금6,C512,30,0
192,D00608,D006,세계사1,3,월8,F135,30,0
126,D00609,D006,세계사2,3,수9,C413,30,0
161,D00609,D006,소통클리닉,3,금9,F106,30,0
197,D00609,D006,소호창업,3,목1,D516,30,0
130,D00610,D006,스피치와자기PR(초급),3,금4,E425,30,0
164,D00610,D006,여성복지론1,3,화7,B205,30,0
198,D00610,D006,여성복지론2,3,금8,F511,30,0
131,D00611,D006,역사의이해1,3,월3,F536,30,0
166,D00611,D006,역사의이해2,3,목7,C325,30,0
199,D00611,D006,이성과심리,3,월8,C125,30,0
137,D00612,D006,인간발달과교육,3,월2,F117,30,0
168,D00612,D006,인문학을담은건축이야기,3,화8,B133,30,0
200,D00612,D006,자연과학,3,목6,A501,30,0
143,D00613,D006,정치학의이해,3,목4,E137,30,0
169,D00613,D006,직업심리학,3,수5,F526,30,0
144,D00614,D006,창조경제와성공창업,3,화3,C507,30,0
171,D00614,D006,천안의이해1,3,월2,B232,30,0
145,D00615,D006,철학의이해2,3,화8,E216,30,0
173,D00615,D006,청소년교육론1,3,금9,C212,30,0
146,D00616,D006,청소년교육론2,3,월7,B211,30,0
174,D00616,D006,취업전략및역량강화1,3,금3,B535,30,0
148,D00617,D006,취업전략및역량강화2,3,화9,C406,30,0
175,D00617,D006,평생교육실습,3,금6,B535,30,0
149,D00618,D006,한국사,3,수2,D403,30,0
177,D00618,D006,행정학개론,3,화6,B504,30,0
150,D00619,D006,현대사회와윤리,3,수5,F437,30,0
178,D00619,D006,현대사회와융합보안,3,목7,B522,30,0
