14442978,1학년,1학기,2.91
14442978,1학년,2학기,3.09
12594011,1학년,1학기,3.34
12594011,1학년,2학기,3.71
12594011,2학년,1학기,3.02
12594011,2학년,2학기,3.77
12594011,3학년,1학기,2.32
12594011,3학년,2학기,2.28
13858150,1학년,1학기,2.06
13858150,1학년,2학기,2.75
13858150,2학년,1학기,2.93
13858150,2학년,2학기,3.88
15826599,1학년,1학기,3.32
15826599,1학년,2학기,2.73
15826599,2학년,1학기,3.81
15826599,2학년,2학기,2.76
17255109,1학년,1학기,3.06
17255109,1학년,2학기,3.23
11420420,1학년,1학기,3.58
11420420,1학년,2학기,3.02
11420420,2학년,1학기,3.1
11420420,2학년,2학기,3.35
11420420,3학년,1학기,2.56
11420420,3학년,2학기,2.35
13495831,1학년,1학기,2.46
13495831,1학년,2학기,2.07
13495831,2학년,1학기,3.69
13495831,2학년,2학기,2.1
13495831,3학년,1학기,2.07
13495831,3학년,2학기,3.3
14294121,1학년,1학기,2.37
14294121,1학년,2학기,3.97
11444002,1학년,1학기,2.94
11444002,1학년,2학기,3.01
11444002,2학년,1학기,2.23
11444002,2학년,2학기,3.3
11444002,3학년,1학기,3.71
11444002,3학년,2학기,2.23
11345131,1학년,1학기,3.23
11345131,1학년,2학기,3.86
11345131,2학년,1학기,2.61
11345131,2학년,2학기,3.2
11345131,3학년,1학기,2.77
11345131,3학년,2학기,2.46
11325844,1학년,1학기,2.67
11325844,1학년,2학기,2.51
11325844,2학년,1학기,3.49
11325844,2학년,2학기,2.48
11325844,3학년,1학기,2.76
11325844,3학년,2학기,2.58
11605639,1학년,1학기,2.5
11605639,1학년,2학기,2.2
11605639,2학년,1학기,3.97
11605639,2학년,2학기,2.7
11605639,3학년,1학기,3.3
11605639,3학년,2학기,2.43
16102585,1학년,1학기,3.09
16102585,1학년,2학기,3.43
17866032,1학년,1학기,3.45
17866032,1학년,2학기,3.42
17416649,1학년,1학기,3.43
17416649,1학년,2학기,2.26
16240674,1학년,1학기,3.62
16240674,1학년,2학기,2.74
12954712,1학년,1학기,3.77
12954712,1학년,2학기,3.03
12954712,2학년,1학기,2.82
12954712,2학년,2학기,3
12954712,3학년,1학기,3.06
12954712,3학년,2학기,3.05
14271607,1학년,1학기,3.39
14271607,1학년,2학기,2.28
14485987,1학년,1학기,2.56
14485987,1학년,2학기,2.73
12554089,1학년,1학기,2.65
12554089,1학년,2학기,2.03
12554089,2학년,1학기,2.77
12554089,2학년,2학기,3.38
15741278,1학년,1학기,3.41
15741278,1학년,2학기,3.94
15741278,2학년,1학기,3.5
15741278,2학년,2학기,3.25
15039407,1학년,1학기,2.27
15039407,1학년,2학기,2.49
11350390,1학년,1학기,2.45
11350390,1학년,2학기,3.16
11350390,2학년,1학기,3.78
11350390,2학년,2학기,3.37
11350390,3학년,1학기,2.17
11350390,3학년,2학기,2.4
11574691,1학년,1학기,3.21
11574691,1학년,2학기,2.33
11574691,2학년,1학기,2.94
11574691,2학년,2학기,3.65
11574691,3학년,1학기,3.42
11574691,3학년,2학기,3.3
11253811,1학년,1학기,3.88
11253811,1학년,2학기,2.46
11253811,2학년,1학기,2.72
11253811,2학년,2학기,2.04
11253811,3학년,1학기,2.65
11253811,3학년,2학기,3.87
14393135,1학년,1학기,2.54
14393135,1학년,2학기,2.51
13810824,1학년,1학기,3.8
13810824,1학년,2학기,2.52
13810824,2학년,1학기,2.91
13810824,2학년,2학기,3.45
15353403,1학년,1학기,3.74
15353403,1학년,2학기,3.67
15353403,2학년,1학기,2.93
15353403,2학년,2학기,2.48
14704164,1학년,1학기,3.45
14704164,1학년,2학기,2.54
13428095,1학년,1학기,3.88
13428095,1학년,2학기,2.06
13428095,2학년,1학기,2.27
13428095,2학년,2학기,3.02
17933969,1학년,1학기,2.78
17933969,1학년,2학기,3.67
15623763,1학년,1학기,2.65
15623763,1학년,2학기,3.41
15623763,2학년,1학기,3.4
15623763,2학년,2학기,3.71
11551956,1학년,1학기,2.11
11551956,1학년,2학기,3.05
11551956,2학년,1학기,2.3
11551956,2학년,2학기,2.1
11551956,3학년,1학기,2.44
11551956,3학년,2학기,3.37
15010459,1학년,1학기,3.74
15010459,1학년,2학기,3.07
15010459,2학년,1학기,3.76
15010459,2학년,2학기,3.55
13633364,1학년,1학기,3.5
13633364,1학년,2학기,2.3
13633364,2학년,1학기,2.19
13633364,2학년,2학기,2.07
12507539,1학년,1학기,2.58
12507539,1학년,2학기,3.94
12507539,2학년,1학기,2.13
12507539,2학년,2학기,2.86
12192190,1학년,1학기,2.49
12192190,1학년,2학기,2.77
12192190,2학년,1학기,2.82
12192190,2학년,2학기,2.48
12919424,1학년,1학기,2.97
12919424,1학년,2학기,3.22
12919424,2학년,1학기,2.57
12919424,2학년,2학기,3.83
13400008,1학년,1학기,3.76
13400008,1학년,2학기,2.63
13400008,2학년,1학기,3.19
13400008,2학년,2학기,2.01
15460840,1학년,1학기,3.13
15460840,1학년,2학기,2.52
11315229,1학년,1학기,2.82
11315229,1학년,2학기,2.92
11315229,2학년,1학기,3.32
11315229,2학년,2학기,3.25
11315229,3학년,1학기,2.21
11315229,3학년,2학기,3.67
15596202,1학년,1학기,3.1
15596202,1학년,2학기,3.64
15596202,2학년,1학기,2.59
15596202,2학년,2학기,3.33
13617160,1학년,1학기,3.29
13617160,1학년,2학기,3.86
13617160,2학년,1학기,2.89
13617160,2학년,2학기,2.04
13617160,3학년,1학기,2.76
13617160,3학년,2학기,3.66
11432263,1학년,1학기,3.48
11432263,1학년,2학기,3.86
11432263,2학년,1학기,2.17
11432263,2학년,2학기,3.95
11432263,3학년,1학기,3.15
11432263,3학년,2학기,3.41
11255532,1학년,1학기,2.77
11255532,1학년,2학기,2.65
11255532,2학년,1학기,3.67
11255532,2학년,2학기,3.46
11255532,3학년,1학기,2.14
11255532,3학년,2학기,2.71
13558017,1학년,1학기,2.86
13558017,1학년,2학기,3.68
13558017,2학년,1학기,3.66
13558017,2학년,2학기,2.56
13558017,3학년,1학기,3.19
13558017,3학년,2학기,2.13
16371161,1학년,1학기,2.76
16371161,1학년,2학기,3.06
15769142,1학년,1학기,2.41
15769142,1학년,2학기,2.09
15769142,2학년,1학기,2.18
15769142,2학년,2학기,3.49
14418252,1학년,1학기,3.34
14418252,1학년,2학기,2.72
14418252,2학년,1학기,2.17
14418252,2학년,2학기,2.83
14265678,1학년,1학기,2.65
14265678,1학년,2학기,2.86
14265678,2학년,1학기,2.4
14265678,2학년,2학기,3.31
14245270,1학년,1학기,3.55
14245270,1학년,2학기,2.8
14245270,2학년,1학기,3.47
14245270,2학년,2학기,3.22
12937698,1학년,1학기,2.66
12937698,1학년,2학기,3.21
12937698,2학년,1학기,3.82
12937698,2학년,2학기,3.42
12304810,1학년,1학기,2.28
12304810,1학년,2학기,2.75
12304810,2학년,1학기,2.7
12304810,2학년,2학기,3.98
13793259,1학년,1학기,3.55
13793259,1학년,2학기,3.17
13793259,2학년,1학기,2.18
13793259,2학년,2학기,2.27
13104626,1학년,1학기,3.98
13104626,1학년,2학기,2.68
13104626,2학년,1학기,3.4
13104626,2학년,2학기,3.03
13825862,1학년,1학기,2.97
13825862,1학년,2학기,3.1
13825862,2학년,1학기,3.8
13825862,2학년,2학기,2.14
13825862,3학년,1학기,2.69
13825862,3학년,2학기,3.8
12849768,1학년,1학기,3.72
12849768,1학년,2학기,2.68
12849768,2학년,1학기,2.14
12849768,2학년,2학기,2.08
12849768,3학년,1학기,3.9
12849768,3학년,2학기,2.38
15537489,1학년,1학기,2.29
15537489,1학년,2학기,3.89
11366804,1학년,1학기,3.8
11366804,1학년,2학기,3.51
11366804,2학년,1학기,2.81
11366804,2학년,2학기,3.38
11366804,3학년,1학기,3.52
11366804,3학년,2학기,2.25
15022326,1학년,1학기,2.02
15022326,1학년,2학기,2.83
15405915,1학년,1학기,2.68
15405915,1학년,2학기,3.76
14614143,1학년,1학기,3.04
14614143,1학년,2학기,2.77
16360680,1학년,1학기,3.81
16360680,1학년,2학기,2.46
11378333,1학년,1학기,2.74
11378333,1학년,2학기,2.94
11378333,2학년,1학기,2.13
11378333,2학년,2학기,2.04
11378333,3학년,1학기,3.56
